"PAYOUT_tx.id","tx.time","tx.amount","tx.id","payin.addrs","tx.amount.cumsum","payout.threshold.reached.payin.number","payout.threshold.reached.payin.time","sort.id","PAYOUT_tx.time","PAYOUT_tx.amount","PAYOUT_payout.addrs","PAYOUT_tx.amount.cumsum","PAYOUT_tx.amount.scaled","PAYOUT_tx.amount.scaled.cumsum","payout.threshold.reached.payin.payout.time.diff","payout.threshold.reached.payin.payout.time.diff.hours"
"5ed6e79e5ede180b4b406bf7e07b1eb43313e6acdea0bfc5304c179102b94e11",2021-05-27 13:47:51,0.002,"f4b062481c6af39366d84717a04fcff79438d1da6d5a151837707f35bdf57dd8","194Ds5nyEiWGy6SnU7GTVZJFRqCxej6Roy",0.02669378,13,2021-05-27 15:49:05,12,2021-05-27 19:55:18,0.00358,"194Ds5nyEiWGy6SnU7GTVZJFRqCxej6Roy",0.01987088,0.00397777777777778,0.0220787555555556,4.10361111111111,4.10361111111111
"dd608d17f38ef57d7b6404cb27cc9358f25f49bfde57737e6e8fc3670e7393e8",2021-05-27 15:49:05,0.06516957,"cb86ebfe8a2b7ba9a28fa7511e399955ef398f1cf988021d91f7d691ca8254c0","1KPMgrpqK21NHevHjXTkRPnnB6JjSyPEZj|1LACczRbbFXqr1VBBoxCh6rEmceUG7VoXo|1kesaJenanDxL6DFEcj8nqzVYCi3NrhfE|1HHpoiphHUtRYQRAiJJoRnzMSw5zzzf9sD|1MV9HGWASGYdeaNGDnacBWqFpkQZXEqSea|1LD9j29vbYGRVNQ7iPbMPtgTyU1szZK2WQ",0.09186335,17,2021-05-30 18:58:16,13,2021-05-30 20:09:04,0.11728523,"1LD9j29vbYGRVNQ7iPbMPtgTyU1szZK2WQ",0.1651042,0.130316922222222,0.183449111111111,1.18,1.18
"b3756031ad47db7fa771d792ab9bae06dbd5aa506ddef4d9ee303f975d1e6a34",2021-05-27 16:37:21,0.005,"47229908f77978ea24c39c7d607f80ac5b84d847d300655e361a08a83e2b7647","123fwPXH6P46Kyx1BiGyGS1bStVhax19Lf",0.09686335,18,2021-05-31 14:53:37,14,2021-05-31 17:09:34,0.00898,"123fwPXH6P46Kyx1BiGyGS1bStVhax19Lf",0.1740842,0.00997777777777778,0.193426888888889,2.26583333333333,2.26583333333333
"c182b0191d404a414b7dffc095ff95b15e71c5a3f96d28114d450e0d2d115c8b",2021-05-30 15:30:33,0.07448057,"8601861d92157c54b4c7224a459b7ae8872d6cab2e43dd376b21f26bb815fd79","1Guw3GarQwuq5Z9mcwUFkwJTc2wh19CuX3|1CGsgcpGExuM5eLjYJMRyqnT3Hb5UJzQgR|1KNGbVCThbnbDMGpHFZkfA963dDZUcbV1Y",0.17134392,20,2021-05-31 15:01:46,15,2021-05-31 21:59:33,0.13404503,"1KNGbVCThbnbDMGpHFZkfA963dDZUcbV1Y",1.35742923,0.148938922222222,1.5082547,6.96305555555556,6.96305555555556
"4158fa9d6813cb790dfe1f78a84762fd103463ae075e0083b38e7917fecda6cd",2021-05-30 17:06:16,0.01,"05a38b6fb5bf76373e6c338691d045cb9d0be6b7b64e71a49a7bb3f441840223","1EePj3qgMSZ5rb6a5GTuAUAWJLmjyDCfyw",0.18134392,20,2021-05-31 15:01:46,16,2021-05-31 21:59:33,0.01798,"1EePj3qgMSZ5rb6a5GTuAUAWJLmjyDCfyw",1.0920442,0.0199777777777778,1.21338244444444,6.96305555555556,6.96305555555556
"cbc5baa55100283387ac009a063ce78832e8ff34553b0a39de926fe2b3b43437",2021-05-30 18:58:16,0.003,"36c0c98d3e0a3418ee417045322113f727e95011edb7eb01a752dfa68a075f80","1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s|1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s|1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s",0.18434392,20,2021-05-31 15:01:46,17,2021-05-31 21:59:33,0.00538,"1KhoD4QoVkKRn9BUX9dDtuCw8i1nZEfn7s",1.2233842,0.00597777777777778,1.35931577777778,6.96305555555556,6.96305555555556
"bb411c401b5614664ca4e2e7ca9ef7a24c25648f435fa9880c53b68a5f7f1579",2021-05-31 14:53:37,0.04,"4da92502e3554c88fae685e01f2ef728d7589abc31bbfb402512fa29ed4d6505","16tqAYWBw2qtXr9CtcX1ApusDKvL11D7iR",0.22434392,20,2021-05-31 15:01:46,18,2021-05-31 21:59:33,0.07198,"16tqAYWBw2qtXr9CtcX1ApusDKvL11D7iR",1.2180042,0.0799777777777778,1.353338,6.96305555555556,6.96305555555556
"0c5415d69c88c04e4d21b16959133c80aea7512570f367cdb535f9ba47f91814",2021-05-31 15:01:46,0.03,"deaf28187a8de60d1afd4a125893c7f5070836f9725e940084c77ba1e26a43e9","1HUXZMUZdYRmAK89hsU5jPtwrAJ2y1sf5j",0.25434392,20,2021-05-31 15:01:46,19,2021-05-31 21:59:33,0.05398,"1HUXZMUZdYRmAK89hsU5jPtwrAJ2y1sf5j",1.1460242,0.0599777777777778,1.27336022222222,6.96305555555556,6.96305555555556
"8284a8a85906d675dccd4fc6ef0b0c967fcb87eae8f4f8fd27be40016c86ddbc",2021-05-31 15:01:46,0.5,"ab590a09decc1270252d58b5dcc023f1d7a8285cc9950844cccae6a143268b34","15HXknNzCSHPQxqtakCTWnY8stXo6CSNZr",0.75434392,21,2021-05-31 15:29:21,20,2021-05-31 21:59:33,0.89998,"15HXknNzCSHPQxqtakCTWnY8stXo6CSNZr",1.0740642,0.999977777777778,1.19340466666667,6.50333333333333,6.50333333333333
"77d01b7fe3ede3d0fb69f3196c96eb84bdbec3f08794c1b11b66bbe2bd085038",2021-05-31 15:29:21,3,"ca7a85c5af219b509fa9ccb7c4f9f5776a7c5e7f170c8d61b05e6fb49244a045","1ML4rLWZx7CoqKK8TQu8Ntx1ZeZQCCNTLe",3.75434392,43,2021-06-02 16:18:51,21,2021-06-02 20:31:50,5.39998,"1ML4rLWZx7CoqKK8TQu8Ntx1ZeZQCCNTLe",7.78723163,5.99997777777778,8.65247958888889,4.21638888888889,4.21638888888889
"8df1398989678e9b7d42f308e40003e9c2b05417d83a5b0831b89b8302c9795e",2021-05-31 18:47:42,0.0007164,"e680be7fd33545971b02a58a600de3b3964ac734f796864e61abb1033e9c281b","14PCawBfaTmU4ytELbgjNiqTs7iyKBjg9J|1EXQSzpZkj7tsfKQ5YNod4aZhvWrqQTYxL",3.75506032,43,2021-06-02 16:18:51,22,2021-06-02 20:31:50,0.00126952,"1EXQSzpZkj7tsfKQ5YNod4aZhvWrqQTYxL",7.80393426,0.00141057777777778,8.67103806666667,4.21638888888889,4.21638888888889
